id,text,label,source,date
1,"Bitcoin surges to new all-time high as institutional investors pile in",positive,mendeley,2024-01-15
2,"Ethereum upgrade promises faster transactions and lower gas fees",positive,mendeley,2024-01-16
3,"Crypto market crashes 30% amid regulatory crackdown fears",negative,mendeley,2024-01-17
4,"SEC approves Bitcoin ETF opening doors for mainstream investment",positive,mendeley,2024-01-18
5,"Major exchange hacked losing 500 million dollars in user funds",negative,mendeley,2024-01-19
6,"Bitcoin trading volume remains steady with no major movement",neutral,mendeley,2024-01-20
7,"Dogecoin jumps 40% after celebrity endorsement on social media",positive,mendeley,2024-01-21
8,"Crypto winter continues as Bitcoin falls below key support level",negative,mendeley,2024-01-22
9,"Blockchain technology adoption grows across enterprise sector",positive,mendeley,2024-01-23
10,"Altcoin market sees mixed results with no clear trend emerging",neutral,mendeley,2024-01-24
11,"Federal Reserve signals rate hikes could hurt crypto markets",negative,mendeley,2024-01-25
12,"Layer 2 solutions gaining traction reducing Ethereum congestion",positive,mendeley,2024-01-26
13,"Crypto miners face profitability challenges amid rising energy costs",negative,mendeley,2024-01-27
14,"DeFi protocol reaches 10 billion in total value locked milestone",positive,mendeley,2024-01-28
15,"Stablecoin regulations under scrutiny by global financial bodies",neutral,mendeley,2024-01-29
16,"Bitcoin whale accumulation suggests bullish sentiment building",positive,mendeley,2024-01-30
17,"NFT market shows signs of recovery after prolonged slump",positive,mendeley,2024-01-31
18,"Crypto exchange volumes drop to lowest levels in two years",negative,mendeley,2024-02-01
19,"Web3 gaming attracts billions in venture capital investment",positive,mendeley,2024-02-02
20,"Regulatory uncertainty continues to dampen investor confidence",negative,mendeley,2024-02-03
21,"Bitcoin halving approaches historical price appreciation expected",positive,mendeley,2024-02-04
22,"Smart contract vulnerabilities exploited draining liquidity pools",negative,mendeley,2024-02-05
23,"Crypto market cap remains flat as traders wait for direction",neutral,mendeley,2024-02-06
24,"Solana ecosystem grows rapidly with new developer activity",positive,mendeley,2024-02-07
25,"Tether faces renewed scrutiny over reserve transparency claims",negative,mendeley,2024-02-08
26,"Cross-chain bridges see increased usage as multichain adoption grows",positive,mendeley,2024-02-09
27,"Bitcoin dominance rises as altcoins struggle to maintain gains",neutral,mendeley,2024-02-10
28,"Crypto ATM installations slow as operators face licensing hurdles",negative,mendeley,2024-02-11
29,"Institutional grade custody solutions launching for digital assets",positive,mendeley,2024-02-12
30,"Market sentiment turns cautious ahead of macroeconomic data",neutral,mendeley,2024-02-13
31,"Ripple wins partial victory in SEC lawsuit boosting XRP price",positive,mendeley,2024-02-14
32,"Crypto lending platforms face insolvency amid market downturn",negative,mendeley,2024-02-15
33,"Central bank digital currencies progressing in multiple countries",neutral,mendeley,2024-02-16
34,"Bitcoin spot ETF inflows break records in first week of trading",positive,mendeley,2024-02-17
35,"Privacy coin regulations tighten as governments target anonymity",negative,mendeley,2024-02-18
36,"Decentralized exchanges surpass centralized competitors in volume",positive,mendeley,2024-02-19
37,"Crypto market shows resilience bouncing back from flash crash",positive,mendeley,2024-02-20
38,"Token unlock events create selling pressure across multiple projects",negative,mendeley,2024-02-21
39,"Blockchain interoperability protocols gain momentum in ecosystem",positive,mendeley,2024-02-22
40,"Mining difficulty reaches all-time high as competition intensifies",neutral,mendeley,2024-02-23
41,"Bitcoin ETF sees record inflows as Wall Street embraces crypto",positive,mendeley,2024-02-24
42,"Altseason signals emerge as money rotates from Bitcoin to altcoins",positive,mendeley,2024-02-25
43,"Crypto project founders arrested in international fraud crackdown",negative,mendeley,2024-02-26
44,"Ethereum staking yields remain attractive for long term investors",positive,mendeley,2024-02-27
45,"Memecoin frenzy grips market as speculation reaches fever pitch",neutral,mendeley,2024-02-28
46,"Major bank launches crypto custody service for institutional clients",positive,mendeley,2024-03-01
47,"Flash crash wipes billions from market as leveraged positions liquidated",negative,mendeley,2024-03-02
48,"On chain metrics suggest accumulation by long term Bitcoin holders",positive,mendeley,2024-03-03
49,"Crypto startup funding declines as venture capital pulls back",negative,mendeley,2024-03-04
50,"Bitcoin reaches six month high as macro environment improves",positive,mendeley,2024-03-05
